Country Name,GDP per capita (current US$),Total greenhouse gas emissions (kt of CO2 equivalent),Forest area (% of land area)
Mozambique,456.581929,33749.36732,46.72519647
Myanmar,1479.613689,128949.3985,43.73403098
Namibia,4252.04172,13560.37867,8.06386571
Nauru,10124.70062,47.328063,0
Nepal,1139.189892,45868.55644,41.59072201
Netherlands,52162.57012,155912.4883,10.97416097
New Caledonia,34877.63563,..,45.84354486
New Zealand,41760.59478,80158.02583,37.57012647
Nicaragua,1876.607378,18448.51145,28.31585508
Niger,564.8416623,44795.82741,0.852372306
Nigeria,2074.613747,322336.5011,23.74578653
North Macedonia,5965.450232,9768.859944,39.71015067
Northern Mariana Islands,17302.92214,..,52.95652174
Norway,68340.0181,46116.8172,33.43535968
Oman,16707.62301,95082.40834,0.008077544
Pakistan,1322.314785,436608.9225,4.833307389
Palau,14349.31682,195.78888,90.02173913
Panama,13293.3332,17231.02452,56.80560798
Papua New Guinea,2446.084687,18397.91713,79.17625756
Paraguay,5353.348065,50784.02825,40.52922225
Peru,6063.626923,89865.35382,56.50810156
Philippines,3224.422811,224971.7625,24.10903176
Poland,15816.8204,338383.8449,30.9770359
Portugal,22242.40642,55640.70734,36.15499489
Puerto Rico,31427.42911,..,55.95603157
Qatar,52315.66008,119605.3672,0
Romania,13047.45666,95744.39542,30.11582928
Russian Federation,10194.44141,2331479.378,49.78433608
Rwanda,773.7732609,6329.924675,11.18767734
Samoa,4042.722752,538.887695,58.15467626
San Marino,45321.48922,..,16.66666667
Sao Tome and Principe,2155.265868,179.72515,54.0625
Saudi Arabia,20398.06099,712585.402,0.454484135
Senegal,1492.475903,30293.27863,41.90598868
Serbia,7733.803469,62883.94612,32.37780949
Seychelles,12020.02106,770.061638,73.26086957
Sierra Leone,493.4322406,5952.4739,35.11886949
Singapore,61273.99166,64266.74268,21.68523677
Sint Maarten (Dutch part),29223.06962,..,10.88235294
Slovak Republic,19552.09111,35984.33182,40.05615641
Slovenia,25558.42905,15286.67677,61.47225919
Solomon Islands,2222.462119,835.240357,90.13826367
Somalia,556.578066,26272.10205,9.532311028
South Africa,5753.066494,501520.8805,14.05509072
South Sudan,..,56051.36036,11.32562151
Spain,26984.29628,270310.9717,37.17730549
Sri Lanka,3852.389091,35117.25456,34.15809893
St. Kitts and Nevis,18553.65714,334.464112,42.30769231
St. Lucia,8951.524766,850.806942,34.04918033
St. Martin (French part),..,..,24.8
St. Vincent and the Grenadines,8306.360493,302.420156,73.17948718
Sudan,608.3325195,107114.2127,9.828452891
Suriname,4796.533314,4312.425111,97.41211538
Sweden,52837.90398,45458.82211,68.69907031
Switzerland,85897.78433,43987.63547,32.12153594
Syrian Arab Republic,537.0902346,47112.47483,2.843108425
Tajikistan,852.3302296,17692.28592,3.053534116
Tanzania,1104.164429,89255.44823,51.64258298
Thailand,7001.78546,433773.458,38.89878447
Timor-Leste,1663.559629,5537.128706,61.94351042
Togo,886.6995115,8395.488807,22.23331495
Tonga,4605.970841,268.338502,12.43055556
Trinidad and Tobago,13705.90023,26480.71295,44.48148148
Tunisia,3497.719027,40882.99745,4.523236354
Turkiye,8638.739133,504956.3259,28.8714837
Turkmenistan,7330.366288,194091.8305,8.782159045
Turks and Caicos Islands,20882.26127,..,11.07368421
Tuvalu,4674.911403,21.742689,33.33333333
Uganda,846.8811992,39280.05175,11.65918612
Ukraine,3751.737305,227341.5857,16.72419745
United Arab Emirates,37629.17417,249927.7494,4.467755562
United Kingdom,40217.00901,398323.6546,13.18563221
United States,63528.6343,5505180.89,33.86692641
Uruguay,15650.4993,35994.19321,11.60438807
Uzbekistan,1759.307471,187520.3945,8.373221378
Vanuatu,2917.756849,588.659649,36.28383921
"Venezuela, RB",..,194259.7019,52.41301514
Viet Nam,3586.347176,470578.1002,46.71900175
Virgin Islands (U.S.),39411.04525,..,56.88571429
West Bank and Gaza,3233.568638,..,1.684385382
"Yemen, Rep.",578.5120102,24391.15073,1.039831809
Zambia,956.831729,36107.82044,60.28333714
Zimbabwe,1372.696674,25988.12599,45.09391237
